Country	Coal	Oil	Gas	Gas flaring	Cement
Qatar		8.61765186585	35.776139296	0.494276184184	1.00940809782
Trinidad and Tobago		3.38970662607	30.845939004	0.0	0.233173838284
Kuwait		16.3813796571	10.3417395815	0.111294040347	0.298738036956
Brunei Darussalam	0.0	4.77294834138	17.5448137731	1.17629865307	0.28150859859
United Arab Emirates	0.716652034489	5.55549502379	14.4533778319	0.208075179127	0.880517016084
Saudi Arabia	0.0	12.3825406824	6.08980706648	0.0	1.01644907192
Luxembourg	0.490070484914	13.4878982631	4.27652796668	0.0	0.673514525498
Bahrain	0.0	3.53887497889	14.8584729024	0.0	0.317681525482
USA	5.41753107011	7.13793066337	4.54494352291	0.0409981405649	0.121974226379
Oman	0.0	4.48650714568	11.0140869209	0.416897128627	0.550535557005
Australia	7.50132300538	5.14529183439	2.89259499255	0.127459783536	0.148935205566
Canada	2.47779343889	6.62441753553	5.91500293373	0.131044934425	0.176656079797
Turkmenistan		3.59842161235	9.68439407083	0.0	0.142540644876
Estonia	8.84354465079	2.40092143841	0.863468629079	0.0	0.309557112391
South Korea	6.1681197145	3.36554000916	1.96176485466	0.0	0.475190906427
Kazakhstan	7.77409316033	2.13475184613	1.6418559903	0.138507511763	0.125860447911
Palau	0.0	11.4746172442	0.0	0.0	0.0
Taiwan	6.18852960221	2.96725592467	1.61421105685	0.0	0.337157917901
Russian Federation	2.49923525112	2.27647902259	5.7261516787	0.255138005668	0.204683229771
Czech Republic	6.05381978335	2.20343696746	1.38262940323	0.00113728349167	0.143891497653
Germany	4.29560889009	3.16610334649	2.08448718925	0.0050422671791	0.154412612453
Japan	3.4620403758	3.83709115479	2.09861836033	0.00024628816106	0.209420649926
Iceland	4.81794462877	4.58667106606	0.0193295205274	0.0	0.0
Netherlands	2.06273172548	2.8954909942	4.04690651303	0.00350604279578	0.0182647400228
South Africa	7.32684512128	1.22150556873	0.167410753577	0.0	0.10674821167
Belgium	1.49930671862	4.10513790714	2.84377198516	0.00819680746731	0.235393212488
Finland	2.31733355719	4.58152513112	1.50146176953	0.0183369041145	0.0911771898256
Israel	3.20756401897	3.12293634233	1.8045003686	0.0	0.327464647257
Malaysia	2.22075134313	2.74367962782	2.55345153034	0.562062794669	0.333054678589
Norway	0.986447084967	4.256609887	2.69570335491	0.264123528303	0.140913797089
Equatorial Guinea	0.0	0.732855393874	4.42035120632	2.78967212216	0.0
Iran	0.0520285437418	3.02454797219	3.93335637125	0.427571562954	0.442025713569
Poland	5.27535311132	1.55856655937	0.833801700643	0.0	0.165310831126
Ireland	1.70811120209	3.75387900831	1.92162242865	0.0	0.251755874232
New Zealand	1.35191287608	4.0364081093	1.91454442482	0.0524615602954	0.126489217396
Austria	1.39238193731	3.81823655417	1.84253314228	0.0	0.196373898721
Slovenia	2.78020858946	3.57693938438	0.711835234852	0.0	0.157744081995
Seychelles	0.0	7.10310009597	0.0	0.0	0.0
Mongolia	5.92648265164	1.12922531617	0.0	0.0	0.0422939711073
China	4.9945903629	0.92361812074	0.24057720068	0.0	0.90968858727
Greece	3.1308243045	2.96687224911	0.499055657614	0.00075232867642	0.281734644744
Denmark	1.82050360738	3.44652879395	1.30331709492	0.0384122329796	0.154258115826
Malta	2.04848667658e-05	6.75136394213	0.000672981856398	0.0	0.0
Venezuela	0.0253389712531	4.06084910819	1.94130239934	0.581820572586	0.124015164352
United Kingdom	1.73317369317	2.55537782295	2.21390510891	0.0506331687625	0.0577556683563
Libya	0.0	4.52145268306	1.52489605342	0.400416425413	0.136482215005
Cyprus	0.000987034285724	5.68253329843	0.00380598062857	0.0	0.437339315464
Bulgaria	3.80728056625	1.42750455889	0.740226636605	0.000320872263761	0.138562327844
Belarus	0.383698745172	1.45347227734	3.99822239475	0.00021166428186	0.229831895888
Slovakia	2.54758512158	1.45891624366	1.47283878381	2.31943986763e-07	0.198898699413
